indice_peak,lambda (nm),wave (cm-1),EW_nm_fixed,EW_nm_auto
301,583.67184,17132.914961256312,0.016208772515262346,0.0014618417507647839
302,583.93196,17125.282883985317,0.013422323589638714,0.0010388801666642794
303,583.9990300000001,17123.31611235724,0.013837268215354331,0.0029942395178552683
304,584.65391,17104.136017836605,0.013566606572384206,0.00037804191573588834
305,584.69073,17103.05891116146,0.013861043502243604,0.0006649534773904205
306,585.13056,17090.20291129556,0.0259299011943253,0.0007778556309975688
307,585.2827100000001,17085.76014487084,0.03019744761733028,0.0007224162041119913
308,585.38409,17082.801140017316,0.028525170449765592,0.004189850372399987
309,585.47708,17080.087917361343,0.04467563071207407,0.0008254504973932538
310,585.6699600000001,17074.46289374309,0.05269832748953216,0.0023422401938429233
311,585.77113,17071.513920462417,0.05254679249688147,0.0034369164573085477
312,585.98892,17065.16908203657,0.05769073488556201,0.00035718712413942543
313,586.04019,17063.67612774134,0.05139409214499567,0.0014089315191112943
314,586.12109,17061.320895311925,0.052175687831356676,0.00859774636241175
315,586.27342,17056.887893706662,0.048056314251071305,0.000891198575906761
316,586.39814,17053.26009390139,0.04987461681024711,0.009834132785583479
317,587.48407,17021.73813836348,0.01688593077739855,0.00238631390612152
318,588.29101,16998.389963497826,0.03937032962072504,0.0047075764959196124
319,590.41092,16937.356104456874,0.05836586979633529,0.0017747445981833026
320,590.73085,16928.183114188127,0.04611502200585301,0.009352004496678827
321,590.8479900000001,16924.826976224456,0.04060108755116034,0.004136947607807552
322,591.78867,16897.92405116509,0.0566009347085227,0.008135912679400285
323,592.94316,16865.022947562124,0.046871112221704106,0.0043470817275458595
324,593.13202,16859.652931905446,0.043407581179398226,0.004137907150477393
325,593.1822900000001,16858.224138822483,0.04408267029116324,0.010970252262539663
326,593.6299200000001,16845.5120995249,0.03800884234584414,0.008308388714689939
327,595.4367500000001,16794.395038599814,0.05158783483711283,0.011592500879404692
328,595.83446,16783.1850477396,0.039680830460361007,0.00682161090701932
329,596.48905,16764.76709840692,0.029188459958174463,0.0004073316224375733
330,597.1215900000001,16747.007925136317,0.027367251623494928,0.000464623556566782
331,597.7815800000001,16728.518131990615,0.03621094204722813,0.016614839247093293
332,597.8432700000001,16726.7919566946,0.03485226843021105,0.016614839247093293
333,598.5338399999999,16707.493096798004,0.04111362597956189,0.021869745860018826
334,598.64728,16704.327128989877,0.042533313853467945,0.021869745860018826
335,600.46749,16653.690943368143,0.034553838787834745,0.010846463174497084
336,600.72046,16646.677890744722,0.04230798664606893,0.0026021672056977118
337,600.96241,16639.975868041398,0.041620896060919794,0.017509610312712056
338,601.02207,16638.3241134556,0.04194177282608464,0.017509610312712056
339,601.6910200000001,16619.825903334902,0.04670533056108032,0.0006563150120875696
340,601.99662,16611.38894766552,0.054656670545978954,0.0013208061712730503
341,602.10329,16608.44603589527,0.05761255955925059,0.0006812016907926729
342,602.57262,16595.51009801939,0.052324513789649876,0.01311424465375221
343,602.8720000000001,16587.268939343674,0.030606021216934686,0.006801692342787407
344,603.57064,16568.068983607285,0.010463826233200232,0.0008854566241801225
345,605.5750400000001,16513.230135773098,0.01964032572200803,0.0010678112340348873
346,605.76815,16507.96596024403,0.02003419408203107,0.008567957602631479
347,606.45271,16489.33187222463,0.021136375731099177,0.0027755113419474214
348,608.01739,16446.89800730864,0.025002703712296577,0.008413089258703066
349,608.0692200000001,16445.49612295784,0.025310350704095444,0.0048373359604528795
350,608.4394599999999,16435.488914542133,0.03444448053160178,0.004598312660985506
351,609.53313,16405.999129202377,0.027678296672923184,0.003115766401882754
352,609.60607,16404.03613435148,0.027821393838406677,0.00199943629619825
353,609.8353000000001,16397.87004786374,0.020574735110266917,0.0038442582989271215
354,609.99329,16393.6229528033,0.043762872299749234,0.001650546862755408
355,610.19603,16388.17610793043,0.04409278966319451,0.0008536251012439445
356,610.68214,16375.130931453145,0.04581362225732829,0.0012633932123587539
357,612.1943500000001,16334.681951899749,0.04277054815276597,0.0005574401124420502
358,612.96027,16314.271070129878,0.02637426336091896,0.0053837867508564905
359,613.83138,16291.118906302901,0.05088047016174364,0.04035646026805667
360,613.86932,16290.112038829371,0.059382744033123755,0.04035646026805667
361,613.9390400000001,16288.262104980322,0.06326857656569874,0.04035646026805667
362,615.3320600000001,16251.38790915591,0.036738342731927526,0.005036693206434463
363,615.94325,16235.261933627813,0.06850484615969799,0.007121352952067405
364,616.70664,16215.165122918086,0.09297984258871891,0.004628105546942813
365,617.5043800000001,16194.217116322314,0.05679007761941656,0.007194410534479422
366,618.1914300000001,16176.219071817282,0.026057522441433778,0.006555476447758221
367,618.97026,16155.865065310245,0.039451306189230706,0.004936343667287476
368,620.2028500000001,16123.756928882216,0.01677938571994326,0.007835258627784432
369,621.51493,16089.71807000678,0.02724055378899502,0.008429441329890435
370,621.68633,16085.28210681422,0.03670966141660264,0.008513240528982894
371,622.10016,16074.581945132437,0.035468058968008066,0.009513641834811662
372,623.43654,16040.124950006939,0.04272300530163409,0.009013753783806864
373,624.23726,16019.550002510263,0.040315305993936214,0.004915799011954266
374,624.80467,16005.002011268578,0.04201407487317731,0.013324637960461074
375,625.4285,15989.037915605062,0.04982983065612151,0.01273138108566466
376,626.68669,15956.936950424142,0.021306794532542157,0.009091235334420928
377,627.1959300000001,15943.981014034958,0.018398472772034498,0.005497263475366706
378,628.23553,15917.59701970374,0.08753816738627124,0.02305779840146613
379,629.9534800000001,15874.18804321868,0.07070520182310285,0.007936014759194076
380,630.3243900000001,15864.846987754985,0.0606652747826231,0.029574160827900136
381,630.4236500000001,15862.349072722762,0.06179548120503595,0.029574160827900136
382,631.3245700000001,15839.713002140878,0.04283187113704133,0.004055406644639211
383,631.7558,15828.900977244688,0.06033699068676724,0.004244517947954382
384,633.85765,15776.412890181256,0.025748797450529954,0.013028528126191775
385,634.06302,15771.30298499351,0.032619455625983514,0.009167391590758025
386,634.59033,15758.197891228503,0.028173506490682867,0.017354488187965828
387,636.61253,15708.141968239299,0.03392497038578113,0.0382024635440485
388,636.6454800000001,15707.328983157153,0.0351599663878717,0.0382024635440485
389,638.25072,15667.824080167116,0.01730655787839188,0.005364914172928022
390,638.74838,15655.617005243912,0.012505654763073797,0.0010879477465945467
391,639.43059,15638.913990649085,0.022286608279010592,0.0018421307898024368
392,639.53687,15636.315072811985,0.022706546813553954,0.015853040719126733
393,640.17704,15620.678929691074,0.03171765012585837,0.02610493852908764
394,640.97896,15601.136112174414,0.0399778454763659,0.01780003231956282
395,641.34216,15592.300995774236,0.045355347158943765,0.016606616833904558
396,642.14198,15572.880003889482,0.03773225154097674,0.010554452899688769
397,642.1724100000001,15572.14206695675,0.037116551892550954,0.010554452899688769
398,642.31257,15568.744046220361,0.033848951496891225,0.012511921108594188
399,643.2623800000001,15545.755994622285,0.024866146625379802,0.012718891693914472
