,,,-10.8099999E-3,-519.999980927E-3,,,,,-10.8099999E-3,-24.00000021E-3,
,,,-10.8000003E-3,-539.999961853E-3,,,,,-10.8000003E-3,-24.00000021E-3,
,,,-10.7899997E-3,-519.999980927E-3,,,,,-10.7899997E-3,-24.00000021E-3,
,,,-10.7800001E-3,-519.999980927E-3,,,,,-10.7800001E-3,-32.00000152E-3,
,,,-10.7700005E-3,-519.999980927E-3,,,,,-10.7700005E-3,-32.00000152E-3,
,,,-10.7600000E-3,-519.999980927E-3,,,,,-10.7600000E-3,-32.00000152E-3,
,,,-10.7500004E-3,-519.999980927E-3,,,,,-10.7500004E-3,-24.00000021E-3,
,,,-10.7399998E-3,-519.999980927E-3,,,,,-10.7399998E-3,-32.00000152E-3,
,,,-10.7300002E-3,-500.000000000E-3,,,,,-10.7300002E-3,-24.00000021E-3,
,,,-10.7199997E-3,-500.000000000E-3,,,,,-10.7199997E-3,-32.00000152E-3,
,,,-10.7100001E-3,-500.000000000E-3,,,,,-10.7100001E-3,-24.00000021E-3,
,,,-10.7000005E-3,-500.000000000E-3,,,,,-10.7000005E-3,-32.00000152E-3,
,,,-10.6899999E-3,-500.000000000E-3,,,,,-10.6899999E-3,-32.00000152E-3,
,,,-10.6800003E-3,-479.999989271E-3,,,,,-10.6800003E-3,-32.00000152E-3,
,,,-10.6699998E-3,-479.999989271E-3,,,,,-10.6699998E-3,-32.00000152E-3,
,,,-10.6600001E-3,-479.999989271E-3,,,,,-10.6600001E-3,-32.00000152E-3,
,,,-10.6499996E-3,-459.999978542E-3,,,,,-10.6499996E-3,-32.00000152E-3,
,,,-10.6400000E-3,-459.999978542E-3,,,,,-10.6400000E-3,-40.00000283E-3,
,,,-10.6300004E-3,-459.999978542E-3,,,,,-10.6300004E-3,-32.00000152E-3,
,,,-10.6199998E-3,-479.999989271E-3,,,,,-10.6199998E-3,-32.00000152E-3,
,,,-10.6100002E-3,-439.999997616E-3,,,,,-10.6100002E-3,-32.00000152E-3,
,,,-10.5999997E-3,-459.999978542E-3,,,,,-10.5999997E-3,-32.00000152E-3,
,,,-10.5900001E-3,-419.999986887E-3,,,,,-10.5900001E-3,-40.00000283E-3,
,,,-10.5800005E-3,-419.999986887E-3,,,,,-10.5800005E-3,-40.00000283E-3,
,,,-10.5699999E-3,-419.999986887E-3,,,,,-10.5699999E-3,-40.00000283E-3,
,,,-10.5600003E-3,-399.99997616E-3,,,,,-10.5600003E-3,-32.00000152E-3,
,,,-10.5499998E-3,-419.999986887E-3,,,,,-10.5499998E-3,-40.00000283E-3,
,,,-10.5400002E-3,-399.99997616E-3,,,,,-10.5400002E-3,-32.00000152E-3,
